"Team" "diff_1st.Downs" "diff_3rd.down.efficiency" "diff_4th.down.efficiency" "diff_Total.Yards" "diff_Passing" "diff_Comp.Att" "diff_Yards.per.pass" "diff_Interceptions.thrown" "diff_Rushing" "diff_Rushing.Attempts" "diff_Yards.per.rush" "diff_Penalties" "diff_Turnovers" "diff_Fumbles.lost" "diff_Possession" "diff_Score" "Result_num" "CONF_PWR" "OPP_CONF_PWR" "CONF_Matchup" "Conference" "Team_P5_G5"
"29" "EMU" 0.5 0.029 -0.179 -6.5 8.917 0.054 0.308 0.083 -15.417 1.25 -0.808 -3.083 0 -0.083 2.823 0.25 0.667 1 2.917 -1.917 "MAC" "G5"
"30" "FAU" 1 0.086 0.022 -13 -18.583 -0.02 0.067 -0.583 5.583 4.333 -0.158 -0.25 -0.583 0 -2.307 3.167 0.417 2 4.083 -2.083 "CUSA" "G5"
"31" "FIU" -6.25 -0.195 -0.014 -127.75 -41 -0.085 -2.05 0.75 -86.75 -11.417 -1.067 6.667 0.417 -0.333 -5.54 -18.583 0.333 2 2.25 -0.25 "CUSA" "G5"
"32" "FLA" -2.083 -0.077 0.111 25.333 -12.167 -0.058 -0.017 0 37.5 -2.417 1.325 3.5 -0.667 -0.667 -2.138 3 0.5 22 18.583 3.417 "SEC" "P5"
"33" "FRES" 2.846 0.071 -0.121 44 76.538 0.18 1.562 -0.154 -32.538 -2.154 -0.738 -11.615 -0.231 -0.077 2.345 10.231 0.692 4 5.923 -1.923 "MW" "G5"
"34" "FSU" 5.583 0.188 -0.035 168.417 98.917 0.087 3.3 -0.167 69.5 1.75 1.642 -2.167 -0.167 0 2.34 16.5 0.75 17 15.417 1.583 "ACC" "P5"
"35" "GASO" 1 0.054 0.025 -27.583 71.667 0.033 -0.733 0.333 -99.25 -12.417 -1.008 -20.583 0.333 0 -3.683 1.333 0.5 5 5.333 -0.333 "SBC" "G5"
"36" "GAST" 0.167 -0.01 0.034 17.75 -25.25 0.018 1.283 -0.5 43 8.417 0.467 13.5 -0.583 -0.083 -2.27 -1.167 0.333 5 7 -2 "SBC" "G5"
"37" "GT" -4.75 -0.073 -0.292 -75.583 -20.25 -0.014 -0.917 -0.167 -55.333 -6.167 -0.767 -8.917 -0.917 -0.75 -3.38 -11.25 0.417 17 15.917 1.083 "ACC" "P5"
"38" "HAW" -2.769 -0.035 -0.165 -95.385 -19.308 -0.097 -2.485 0.154 -76.077 -6.846 -1.123 1.615 0.615 0.462 -3.462 -14.923 0.231 4 6.154 -2.154 "MW" "G5"
"39" "HOU" 0.25 0.016 -0.035 33.75 35.417 0.061 0.383 0.25 -1.667 -4.333 0.942 43.5 0.667 0.417 -0.6 3.667 0.583 11 11 0 "AAC" "G5"
"40" "ILL" 6.583 0.111 0.111 122.833 42.917 0.232 1.967 -1.417 79.917 11.833 1.1 17.333 -1.083 0.333 5.567 13.167 0.667 21 17.5 3.5 "BIG10" "P5"
"41" "IOWA" -2 -0.029 -0.235 -22.5 -15.667 -0.032 0.5 -0.5 -6.833 -2.833 0.242 -5.833 -0.333 0.167 -2.896 3 0.583 21 17.75 3.25 "BIG10" "P5"
"42" "ISU" 4.917 0.132 0.158 84.167 83.5 0.061 -0.183 0.667 0.667 -0.833 0.125 3.5 0.583 -0.083 4.242 -0.083 0.333 20 16.833 3.167 "BIG12" "P5"
"43" "IU" -3.833 -0.092 -0.035 -121 -56.75 -0.114 -2.783 0.5 -64.25 -9.25 -1.025 -21.5 0.417 -0.083 -8.532 -10.667 0.333 21 16.833 4.167 "BIG10" "P5"
"44" "JMU" 8.818 0.132 -0.03 162.273 55.727 0.066 1.364 -0.091 106.545 11.182 2.136 -5.909 -0.182 -0.091 7.285 16.091 0.727 5 5.364 -0.364 "SBC" "G5"
"45" "KENT" -0.333 0.026 -0.165 -15.25 -57.917 -0.127 -0.708 0.083 42.667 1.75 0.733 13.75 0 -0.083 -7.745 -0.583 0.417 1 5.75 -4.75 "MAC" "G5"
"46" "KSU" 1.154 0.063 0.08 54.308 -6.385 0.058 1.362 -0.923 60.692 6 0.908 -2.538 -1.077 -0.154 2.963 13.154 0.769 20 17.923 2.077 "BIG12" "P5"
"47" "KU" -4.917 0.041 -0.178 -27.5 -27.667 0.017 1.175 -0.417 0.167 -8.333 1.183 10.333 -0.333 0.083 -2.647 0.333 0.5 20 17.333 2.667 "BIG12" "P5"
"48" "LIB" 3.25 0.051 -0.156 55.167 21.083 -0.008 0.308 0.083 34.083 1 0.8 -2.167 0.25 0.167 -1.297 3.333 0.667 3 8 -5 "Ind_Low" "G5"
"49" "LOU" 1 0.025 0.278 58.417 5.167 0.009 0.133 -0.417 53.25 1.833 1.267 11.167 -0.75 -0.333 -0.543 7 0.583 17 15.417 1.583 "ACC" "P5"
"50" "LSU" 5.462 0.085 0.071 80.923 52.538 0.075 0.346 0 28.385 1.154 0.708 -4.769 0.077 0.077 2.154 8.615 0.692 22 17 5 "SEC" "P5"
"51" "LT" -4.583 -0.07 -0.121 -76.5 41.667 0.016 0.233 0.667 -118.167 -6.5 -2.408 -7.833 0.25 -0.417 0.178 -8.917 0.25 2 5 -3 "CUSA" "G5"
"52" "M-OH" -2.833 -0.068 -0.16 -62.417 -70.083 -0.065 -0.05 -0.417 7.667 2.667 -0.058 -7.75 -0.667 -0.25 0.642 -2.25 0.5 1 5.167 -4.167 "MAC" "G5"
"53" "MASS" -4.167 -0.022 -0.062 -103.833 -58.333 -0.055 -3.575 0.333 -45.5 4.5 -1.5 19.75 0 -0.333 2.599 -18.583 0.083 3 5.333 -2.333 "Ind_Low" "G5"
"54" "MD" -0.75 0.022 0.336 43.917 39.833 0.091 1.258 -0.083 4.083 -1.083 0.442 24.167 -0.083 0 1.473 5.083 0.583 21 16.917 4.083 "BIG10" "P5"
"55" "MEM" 2.5 0.033 0.097 49.917 29.583 0.042 1.133 -0.417 20.333 2.667 0.467 -9.917 -0.333 0.083 0.817 7.75 0.5 11 9.75 1.25 "AAC" "G5"
"56" "MIA" 2.583 0.012 -0.281 -7.75 6.167 0.008 -1.983 -0.167 -13.917 -0.917 -0.358 4.667 0.25 0.417 1.422 -3.167 0.417 17 13.75 3.25 "ACC" "P5"
"57" "MICH" 8 0.141 0.423 176.385 18.615 0.089 2.677 -0.615 157.769 13.846 2.838 -9.462 -0.615 0 7.802 26.692 1 21 17 4 "BIG10" "P5"
"58" "MINN" 7.833 0.252 -0.136 124.833 12.25 0.042 2.033 -0.333 112.583 17.167 1.15 -8.583 -0.333 0 10.497 14.917 0.667 21 17.583 3.417 "BIG10" "P5"
"59" "MISS" 4.167 0.083 0.179 111.417 11.667 -0.024 1.175 0.167 99.75 8.583 1.317 11.917 -0.083 -0.25 -7.218 10 0.667 22 17.417 4.583 "SEC" "P5"
"60" "MIZ" -0.083 0.051 0.056 33.583 2.833 0.046 0.55 -0.083 30.75 3.75 0.558 20.667 0.167 0.25 1.982 0.5 0.5 22 16.75 5.25 "SEC" "P5"
